t,x
544,-1.4755395005733296
545,-1.495222440097335
546,-1.4615550865573603
547,-1.474382914705856
548,-1.6319782666558442
549,-1.6064692501671025
550,-1.6647701011337022
551,-1.6731446701115968
552,-1.7172979874241872
553,-1.6612451515182256
554,-1.7270715250345303
555,-1.8055223311731339
556,-1.8013898387608973
557,-1.8384930102380301
558,-1.7725113659380538
559,-1.8040214543553579
560,-1.7885810626191494
561,-1.697695163063605
562,-1.6956687677345588
563,-1.6079997745593653
564,-1.6497383936285064
565,-1.5185172381781105
566,-1.406535744928554
567,-1.4020686520327648
568,-1.4099051407573366
569,-1.3068907356198634
570,-1.2223119712040167
571,-1.2272565571382081
572,-1.1739075268449823
573,-1.179365719344517
574,-1.1704572532886075
575,-1.1890262490522026
576,-1.1356235329220183
577,-1.136680845511817
578,-1.1249670130713096
579,-1.0534871656162645
580,-1.05775427375111
581,-1.0854771730106705
582,-1.0619509853576579
583,-1.0963601160346867
584,-1.0891991723841614
585,-1.1034929780420732
586,-1.1397717214564391
587,-1.138978633279763
588,-1.1374997662689916
589,-1.1760168946186351
590,-1.2488833257264262
591,-1.2505630510494086
592,-1.3419870729845613
593,-1.3266610434997657
594,-1.2978105837559968
595,-1.2256883773332925
596,-1.1737808359447446
597,-1.1737933611259994
598,-1.1901948935788993
599,-1.229002326170373
600,-1.227510269663066
601,-1.1757172187642742
602,-1.206285728291841
603,-1.1988749225777189
604,-1.1375392012413654
605,-1.1669365943455763
606,-1.2000646782868398
607,-1.1997321703905615
608,-1.1989258647540733
609,-1.2206704775071116
610,-1.230630496238837
611,-1.23017901736561
612,-1.2173239317447235
613,-1.2219159133248372
614,-1.2517248226616968
615,-1.3124598179189122
616,-1.4702820278304498
617,-1.4710990491961597
618,-1.4529468058823312
619,-1.6027005712634337
620,-1.5116075500126285
621,-1.577079334252029
622,-1.5722748687321937
623,-1.5574224431104053
624,-1.7029430774370442
625,-1.6768909601495001
626,-1.6509450116607536
627,-1.6384168224895894
628,-1.647706281979601
629,-1.6465625117567577
630,-1.6289037831223896
631,-1.6047623488750815
632,-1.623337246641208
633,-1.6221502551914915
634,-1.657583094095748
635,-1.6771460005560086
636,-1.6406347931916856
637,-1.646410259408853
638,-1.655213433555479
639,-1.6910262383586254
640,-1.7979066236364978
641,-1.7678586474834126
642,-1.7761390031305713
643,-1.7527133645491524
644,-1.638466135422593
645,-1.6698689783352634
646,-1.792065956077117
647,-1.7813519372875724
648,-1.5942826946939463
649,-1.5895575260980133
650,-1.5789103798384823
651,-1.622586424818018
652,-1.6182291230552506
653,-1.6068296792678893
654,-1.6068897439655845
655,-1.5420973119232373
656,-1.6152156451356332
657,-1.5677566538334764
658,-1.6011802711757164
659,-1.3956681329947254
660,-1.3934190330801117
661,-1.389093187248319
662,-1.3935764139868079
663,-1.38769790197405
664,-1.415783664040072
665,-1.3964227090037675
666,-1.4005740156950441
667,-1.428239268752759
668,-1.5248842426977665
669,-1.524103269478074
670,-1.4563955555133554
671,-1.4225379028279257
672,-1.416151882971953
673,-1.3286930054235409
674,-1.236298081683442
675,-1.2694874157658047
676,-1.272283283023681
677,-1.2574374331245992
678,-1.2798237648577953
679,-1.420781262731832
680,-1.4279223020208995
681,-1.339988344672687
682,-1.3028712930167201
683,-1.2371580628840126
684,-1.229081400223899
685,-1.246408950836631
686,-1.2469514768321908
687,-1.225649213857141
688,-1.2282080602370817
689,-1.215456662325195
690,-1.2313205426199245
691,-1.269302409698792
692,-1.2600797157453494
693,-1.2922723307319575
694,-1.3671291055113794
695,-1.3057601924188262
696,-1.3051304502266399
697,-1.3694843151260812
698,-1.3739140032169097
699,-1.3827930867077134
700,-1.330537841587228
701,-1.1554264580341738
702,-1.211148883947972
703,-1.233135263210996
704,-1.2358199400373118
705,-1.2330703536299283
706,-1.2401452006302485
707,-1.27390084656208
708,-1.2778958328988332
709,-1.2838406664152793
710,-1.290906481535804
711,-1.2970196060289911
712,-1.316279197251374
713,-1.322375839910294
714,-1.2532802977098274
715,-1.3227194056965697
716,-1.3411498029252167
717,-1.3057432819761547
718,-1.2850463796138754
719,-1.2852734393211733
720,-1.3306545029072592
721,-1.7199826671020926
722,-1.695871915500181
723,-1.7040091132744126
724,-1.7090906929128598
725,-1.60982331435319
726,-1.593571194991218
727,-1.5907017183564844
728,-1.590274965026868
729,-1.5838374810116596
730,-1.5695937411909338
731,-1.5599605691514014
732,-1.5874421815703872
733,-1.5714940373237782
734,-1.6966500056174294
735,-1.697431194955349
736,-1.6978755801671426
737,-1.7262993170305108
738,-1.739500072817175
739,-1.629928005049175
740,-1.6415388317451887
741,-1.6400504781496685
742,-1.6470152496368828
743,-1.6548906443359706
744,-1.6581575034492126
745,-1.7934198206612124
746,-1.7635914179598298
747,-1.7694314945777596
748,-1.7049916421474915
749,-1.7189079710438244
750,-1.7776773774540577
751,-1.7789578249397933
752,-1.7729250065451878
753,-1.8302552527993472
754,-1.8192636905834882
755,-1.790401326590504
756,-1.7916992054174212
757,-1.7677879783668253
758,-1.7767786853867271
759,-1.8469723815328867
760,-1.8258776263795857
761,-1.7814671051943132
762,-1.781707395462716
763,-1.7825031492714438
764,-1.7614601763018503
765,-1.7637895725613346
766,-1.8415236500187462
767,-1.800080669438645
768,-1.8696059092913342
769,-1.7929728234113627
770,-1.792604487943258
771,-1.785519266326768
772,-1.7933966948780014
773,-1.7923336684016655
774,-1.827779466762345
775,-1.8911634072164483
776,-1.9092143345942791
777,-1.8945221995449208
778,-1.917871276681504
779,-1.8670882031692548
780,-1.9273358869429644
781,-1.8726016119393547
782,-1.8446231051006043
783,-1.8508627806677735
784,-1.80756077648443
785,-1.8048895655434882
786,-1.719866420323864
787,-1.7317159808031102
788,-1.7080744054998342
789,-1.747324998344811
790,-1.693289042172866
791,-1.6977534638635037
792,-1.7114960067948775
793,-1.712844489265402
794,-1.7142437516385656
795,-1.6826458131995201
796,-1.686727209423148
797,-1.696358939991762
798,-1.694848374045839
799,-1.7411421093133659
800,-1.7379277567576488
801,-1.8341915604351027
802,-1.9171676196680005
803,-1.9207521238751954
804,-1.9669026941066179
805,-1.9609005689522256
806,-2.0318324424978176
807,-2.1086413920632334
808,-2.124466235719846
809,-2.1787317319845716
810,-2.3504483891327332
811,-2.3491899887085412
812,-2.3566260885873582
813,-2.171006562148989
814,-2.1621969870726243
815,-2.084778811167191
816,-2.0727880411582906
817,-2.1523096452775223
818,-2.0916748034546457
819,-2.0850966499445622
820,-2.066591097662957
821,-1.9468196151885377
822,-1.946933199536208
823,-1.9393456961230362
824,-1.9404752218542878
825,-1.9970571961716592
826,-1.9976470222063711
827,-1.9984679623438462
828,-1.9859201601760614
829,-1.9368724488176503
830,-1.9245335099598777
831,-1.9229669681001698
832,-1.9228710530923756
833,-1.9654720574146407
834,-1.9505842863924885
835,-2.0583171835998963
836,-2.0196248845632403
837,-2.019824340371402
838,-2.060506829873861
839,-2.0570744463966295
840,-2.0310202464326177
841,-2.137153973585825
842,-2.1377116171056936
843,-2.142102694751083
844,-2.136399335692121
845,-2.142462761507168
846,-2.1262209684928237
847,-2.117857267127054
848,-2.157142510915427
849,-2.1546136075762403
850,-2.1555522078235696
851,-2.138000407562188
852,-2.1141897549725095
853,-2.206131530204989
854,-2.2023217851725003
855,-2.1978141483738485
856,-2.2155583749807697
857,-2.2146507613885746
858,-2.2525837800521655
859,-2.228675633102788
860,-2.3210338224569393
861,-2.3212274652100473
862,-2.260902525169378
863,-2.2665414617014954
864,-2.2800455102716537
865,-2.2629196004945347
866,-2.2790547297975405
867,-2.2672680779394363
868,-2.2634853441702596
869,-2.337118484746939
870,-2.3317576507989752
871,-2.3626823718753553
872,-2.345003878302829
873,-2.3458946094939357
874,-2.415757998689778
875,-2.458244356544305
876,-2.5314747600229035
877,-2.467560094918246
878,-2.418014472211337
879,-2.518662666195337
880,-2.5017264780696933
881,-2.3262964780506907
882,-2.374359489722524
883,-2.3558724714569306
884,-2.3124866401117457
885,-2.3169069281789576
886,-2.314081701352405
887,-2.368189632045398
888,-2.368148296654188
889,-2.353464233351755
890,-2.3164814298508114
891,-2.3022521849128545
892,-2.295415912693017
893,-2.296608033029175
894,-2.27033122801918
895,-2.2834814907772656
896,-2.1904349608103537
897,-2.131853994336636
898,-2.1630599233586487
899,-2.136429806443882
900,-2.03092447802674
901,-2.097928267627503
902,-2.0997249770832864
903,-2.1125668711581786
904,-2.1409068497965267
905,-2.127060336353785
906,-2.144771301351
907,-2.1436700662929233
908,-2.1235227287377394
909,-2.123787348706014
910,-2.1895164292212854
911,-2.1949266008572494
912,-2.145263168081895
913,-2.145826392461761
914,-2.160154331255509
915,-2.11932100510597
916,-2.0670058128443323
917,-2.13604858092919
918,-2.1518141092013843
919,-2.0943689206320415
920,-2.230298967369003
921,-2.213259932928725
922,-2.213618615756759
923,-2.220256324392866
924,-2.1579841425875257
925,-2.1118410527710916
926,-2.1118831043650643
927,-2.037314095080455
928,-2.040002777571013
929,-2.030088428066706
930,-2.0211734561258385
931,-2.0490810943166355
932,-2.090971724427093
933,-2.0359863944900884
934,-2.0364712800802502
935,-2.004663226657789
936,-2.077221152556865
937,-2.022821944178663
938,-2.0333168625522147
939,-2.085506494066867
940,-2.0110181821167266
941,-1.9914108736720983
942,-1.9887189142719701
943,-1.9272767876462849
944,-1.9632685781893489
945,-1.9479720050079936
946,-1.846617514965412
947,-1.8595856781489768
948,-1.8684263958663478
949,-1.873313252593637
950,-1.8778732642857678
951,-1.8703945646095825
952,-1.8182730177659943
953,-1.8425304712712907
954,-1.7628023024379584
955,-1.8178531537779687
956,-1.848327866059955
957,-1.9171307803081157
958,-1.921263213966033
959,-1.9157570259420644
960,-2.028332095102327
961,-2.1363958015596647
962,-2.159512065499317
963,-2.1789279913856676
964,-2.1672560821060483
965,-2.1894930408714357
966,-2.3298898673679926
967,-2.3142296816617174
968,-2.3087759314118848
969,-2.2854305991212382
970,-2.2646635857067294
971,-2.3384820537141584
972,-2.4749779519941093
973,-2.480740717038688
974,-2.6491640355604926
975,-2.649759535290536
976,-2.643829685105631
977,-2.6393730559718396
978,-2.6563275951994063
979,-2.388022227701346
980,-2.3387494492614507
981,-2.3402094154757545
982,-2.35032991362697
983,-2.351140173066603
984,-2.356497446145256
985,-2.3385578380223855
986,-2.3099816635204538
987,-2.2818147252841747
988,-2.2695812781025646
989,-2.2878251296174272
990,-2.2193799327467305
991,-2.2163874435265645
992,-2.2103919495841016
993,-2.2124880375544906
994,-2.3074060886352377
995,-2.297173747501186
996,-2.274319984277648
997,-2.241497036122005
998,-2.181099258430677
999,-2.3323762774520644
1000,-2.389363535035731
1001,-2.3893828554958274
1002,-2.383702370532941
1003,-2.381076997769307
1004,-2.3525109357584544
1005,-2.363314282352405
1006,-2.2012074079162463
1007,-2.187409200232281
1008,-2.170545241181445
1009,-2.1535714492515883
1010,-2.2277357986289297
1011,-2.215106217412536
1012,-2.2195129591858893
1013,-2.218377846595249
1014,-2.213458703185829
1015,-2.1056154462660297
1016,-2.1104585023549762
1017,-2.1232108803795535
1018,-2.1495225161795175
1019,-2.1229261528593546
1020,-2.1242065206461285
1021,-1.9747059473310429
1022,-1.9770563626096198
1023,-1.9681827722777392
1024,-1.980035994978844
1025,-1.9780960007958572
1026,-2.1026811938769074
1027,-2.1348491929367426
1028,-2.1663969065721043
1029,-2.1111803204178154
1030,-2.105399603490245
1031,-2.0914051185652807
1032,-2.0647836321155206
1033,-2.0716658690965044
1034,-2.0336261615514424
1035,-2.1299911093536372
1036,-2.1483315895011015
1037,-2.130363123038723
1038,-2.1346517571672363
1039,-2.156249519480166
1040,-2.1350292750412487
1041,-2.3479406897766326
1042,-2.3428889983655234
1043,-2.348034614031927
1044,-2.335767101239427
1045,-2.307545536275914
1046,-2.316007563644461
1047,-2.3397853750370055
1048,-2.297479645803242
1049,-2.3877779131101358
1050,-2.277984354740295
1051,-2.2678011439073726
1052,-2.299863841923393
1053,-2.30218587767269
1054,-2.3154777841991363
1055,-2.2827909399662505
1056,-2.1668422727572514
1057,-2.1194660787181507
1058,-2.141956801356562
1059,-2.1548117239771436
1060,-2.2145187639989192
1061,-2.2092149920326207
1062,-2.145712384035625
1063,-2.062328113096327
1064,-2.06224206208121
1065,-2.1029599092994595
1066,-2.0467860391891346
1067,-2.03895693235423
1068,-1.9761153957127418
1069,-1.9778828545165845
1070,-1.9822078223273143
1071,-1.9695672055838662
1072,-1.9315855466149878
1073,-1.931686488458691
1074,-1.9611565968010767
1075,-1.970755219673709
1076,-2.05538774463995
1077,-2.1315900425837766
1078,-2.133944442210467
1079,-2.1240132089407635
1080,-2.1245943025035006
1081,-2.1921146696356444
1082,-2.206593072728913
1083,-2.2561926784493305
1084,-2.243608272119191
1085,-2.21720944217351
1086,-2.241212176691024
1087,-2.2405094418373728
1088,-2.395506054026891
1089,-2.3682544767959444
1090,-2.3791409993947323
1091,-2.4773337885407924
1092,-2.560694500168408
1093,-2.4507952351033353
1094,-2.4502103514733116
1095,-2.456436606027758
1096,-2.455062708937953
1097,-2.4559078250682678
1098,-2.4232266440222765
1099,-2.52101299567842
1100,-2.5296173133102005
1101,-2.490646886926995
1102,-2.4903762545805073
1103,-2.4754750493811355
1104,-2.483216934695424
1105,-2.5425272984081286
1106,-2.5685057443702104
