t,H=0.1,H=0.2,H=0.3,H=0.4
1.079999999999999988e-01,1.050044188274622314e+00,8.648005543858990896e-01,9.972305662332707765e-01,9.857223286498688619e-01
1.089999999999999997e-01,1.068405724162374115e+00,8.082314382486893711e-01,9.812434366238508288e-01,9.889505262274717046e-01
1.100000000000000006e-01,1.018131427950866197e+00,8.528328155943846189e-01,1.000054382382770779e+00,9.918909152436112819e-01
1.110000000000000014e-01,9.380588777917073795e-01,8.323452626969286561e-01,9.924429536407938235e-01,9.837931237663574136e-01
1.120000000000000023e-01,9.617854326722571345e-01,8.309822266055507667e-01,9.707303266496571936e-01,9.832366218251049617e-01
1.130000000000000032e-01,9.409319675628581292e-01,8.579274454698053720e-01,9.701516261972489286e-01,9.854262829150114422e-01
1.140000000000000041e-01,9.410331584375265512e-01,8.698444309470458879e-01,9.705505503353946128e-01,9.817660959207575866e-01
1.150000000000000050e-01,9.817616882089961194e-01,8.824936738297520789e-01,9.799303848850380305e-01,9.876151147015279630e-01
1.160000000000000059e-01,9.628345793867175706e-01,9.112855522201446234e-01,9.949572892374053401e-01,9.827797176546350100e-01
1.170000000000000068e-01,9.324311273708977277e-01,8.733477363953341399e-01,9.804834778067140766e-01,9.871975289893875072e-01
1.180000000000000077e-01,9.226032896477214251e-01,8.419700610907911997e-01,9.744115061768827690e-01,9.919935389338155884e-01
1.190000000000000085e-01,9.433600609660632852e-01,8.981784561503913800e-01,9.707998091666477647e-01,9.981552519532855827e-01
1.199999999999999956e-01,8.927476325640290034e-01,8.249373260433991994e-01,9.773280253939475859e-01,1.002201040270493060e+00
1.209999999999999964e-01,9.072144252300619049e-01,8.455359350438470534e-01,9.792729241495746750e-01,9.981214105009449389e-01
1.219999999999999973e-01,9.394868889818777102e-01,8.149474835290732022e-01,9.813651719555535058e-01,9.974992230798299664e-01
1.229999999999999982e-01,8.635261217605615380e-01,8.300403424466110680e-01,9.935113263934255423e-01,9.973059552833037911e-01
1.239999999999999991e-01,9.775329941357356889e-01,8.665132849942344118e-01,9.931254942694469623e-01,9.953592663257126993e-01
1.250000000000000000e-01,8.486255880599605783e-01,9.149538921460533825e-01,9.999874964276905809e-01,9.937989342685368266e-01
1.260000000000000009e-01,8.838297790302156454e-01,8.786207151444355157e-01,1.011645089473694137e+00,9.930939255838173718e-01
1.270000000000000018e-01,9.517951534621380549e-01,8.918601812797232187e-01,1.017853647085695812e+00,9.921450990662905589e-01
1.280000000000000027e-01,8.816642444382765120e-01,8.927093560888146317e-01,9.970574174440915982e-01,9.978053600908433074e-01
1.290000000000000036e-01,8.700652503548910177e-01,8.603142221129904677e-01,9.848563906016080116e-01,1.012981678272921737e+00
1.300000000000000044e-01,9.916001379045074060e-01,8.944943054329768106e-01,9.832683072263326274e-01,1.018009466586678791e+00
1.310000000000000053e-01,9.277754887799064543e-01,8.567957044639477049e-01,9.775531033721908125e-01,1.018202714706938572e+00
1.320000000000000062e-01,9.622264010718679650e-01,8.767593820866155241e-01,9.802232715193932577e-01,1.026083609911361050e+00
1.330000000000000071e-01,9.713243285710888575e-01,8.298048517647924616e-01,9.860916875290434147e-01,1.025507866979615823e+00
1.340000000000000080e-01,9.128565422033529941e-01,8.301144671779717710e-01,9.687375115386356317e-01,1.014000532194771154e+00
1.350000000000000089e-01,9.000504590774469627e-01,8.363228223652848792e-01,9.771687356840889072e-01,1.013654827306797568e+00
1.360000000000000098e-01,9.485915353645724135e-01,8.046088232500774318e-01,9.552991040132121636e-01,1.019743025373105461e+00
1.370000000000000107e-01,9.969569801490628658e-01,7.795523094515146578e-01,9.599762273309156990e-01,1.021826828070919957e+00
1.380000000000000115e-01,9.431906475615827734e-01,8.311213029695091459e-01,9.539823840777592601e-01,1.018863863894493349e+00
