t,alpha=-2,alpha=-10,alpha=-20,alpha=-50,alpha=-100
6.300000000000000044e-02,9.455766338916391511e-01,5.952981974234131668e-01,2.253054590652583955e-01,6.528890466632709944e-02,-3.786099760028441980e-02
6.400000000000000133e-02,9.525196424754109881e-01,5.661155544271507800e-01,2.522838002463976825e-01,7.580749707427758555e-02,-9.975095838446387808e-02
6.500000000000000222e-02,1.018837753259609125e+00,6.081971248576446554e-01,2.015086905490501290e-01,5.321170668264291886e-02,-3.604228799466675098e-02
6.600000000000000311e-02,9.936060706306651946e-01,5.716101293631704605e-01,2.231883222304399672e-01,3.144979660302196778e-02,-5.146623166053920784e-02
6.700000000000000400e-02,1.011295013546723354e+00,5.151971084648181431e-01,2.593245258226871131e-01,4.609558201681614176e-02,-5.593102070331359282e-02
6.800000000000000488e-02,1.042166372506302841e+00,5.555250880694234672e-01,2.520305457952006223e-01,4.929397254699625919e-02,1.378666933189308386e-02
6.900000000000000577e-02,1.053786596810760923e+00,5.972241523852082068e-01,2.257046193609903162e-01,3.815398420133356283e-02,2.244042765964276639e-02
7.000000000000000666e-02,1.003342499616038719e+00,5.850129981088331155e-01,2.244804980649891812e-01,4.336728205965768163e-02,5.400264404956493791e-04
7.100000000000000755e-02,1.028745412379028723e+00,6.220966647129114735e-01,1.999448910678244262e-01,3.099361467700927769e-02,5.117217920096120247e-03
7.200000000000000844e-02,1.042996883630883831e+00,6.341348244016652425e-01,2.246369592103736601e-01,9.750103536228321710e-03,-2.906434337296283366e-02
7.299999999999999545e-02,1.101240548836613931e+00,6.350408253240710232e-01,2.273867817163147953e-01,3.392123803273185134e-02,-1.113844805374885061e-01
7.399999999999999634e-02,1.092663620608586905e+00,6.317391596300809820e-01,2.195152885282946331e-01,4.351974845288592714e-02,-1.009655521268578021e-01
7.499999999999999722e-02,1.040607798115766869e+00,5.944932939686915496e-01,2.449327326997041421e-01,7.045433581932436518e-02,-1.307925626848929768e-01
7.599999999999999811e-02,1.010123813400455983e+00,5.923676491716461934e-01,2.989088334883716613e-01,1.089681429857873030e-01,-1.005205534592655825e-01
7.699999999999999900e-02,1.011792211774200201e+00,5.542432439840314640e-01,2.599532746286072893e-01,1.306018477874412720e-01,-1.363174575401526201e-01
7.799999999999999989e-02,9.957171402316140618e-01,5.492405670886845170e-01,2.840427368969380417e-01,9.267606537591879801e-02,-7.924939800022048897e-02
7.900000000000000078e-02,9.502751879836260906e-01,5.535966743368189169e-01,2.571442741406571031e-01,1.052931657937245941e-01,-6.834580359233523306e-02
8.000000000000000167e-02,8.990540590922312392e-01,5.406706605444931979e-01,2.248091629614139553e-01,1.011671312424377023e-01,-8.219121529183402719e-02
8.100000000000000255e-02,9.131034207888184540e-01,5.248936876652167127e-01,1.989229607023541568e-01,8.944994125728604473e-02,-3.336006770475372779e-02
8.200000000000000344e-02,9.171239355341580524e-01,5.349466009649369580e-01,1.992090206286955545e-01,9.523847615162781000e-02,-4.872499688005638152e-02
8.300000000000000433e-02,9.416557887339813693e-01,5.746449276166449849e-01,1.858452235595953739e-01,2.037413764032626473e-02,-1.055205415347610226e-01
8.400000000000000522e-02,8.901146267026506242e-01,5.015151202551065834e-01,1.644402166520868014e-01,-6.127231174263809976e-02,-6.748985559576889393e-02
8.500000000000000611e-02,9.087689969323226036e-01,4.721226025433092888e-01,2.024916595403378206e-01,-9.536141937494581333e-02,-1.095331547816480455e-01
8.600000000000000699e-02,8.969991458910085980e-01,4.510858363756085065e-01,2.370806609243686913e-01,-1.142693421487593342e-01,-6.794778034388920807e-02
8.700000000000000788e-02,8.647504217538556359e-01,4.448316479977620364e-01,2.353574502338589836e-01,-1.411829779142841912e-01,-6.982397288294424353e-02
8.799999999999999489e-02,8.501012444768037968e-01,4.590643408599127673e-01,2.799241847077699186e-01,-1.923046577554346492e-01,-7.274902088648360632e-02
8.899999999999999578e-02,8.638435279980639647e-01,4.601662505002802606e-01,2.436274371345339418e-01,-1.848530897544648222e-01,-9.296136214392533570e-02
8.999999999999999667e-02,8.629020451828004479e-01,4.413491146520835962e-01,2.495276018420227726e-01,-1.673242156909147682e-01,-9.068396921744704964e-02
9.099999999999999756e-02,7.780026556433814466e-01,4.160063737506408676e-01,2.206013829681607030e-01,-1.861497336545629711e-01,-4.364769545846470394e-02
9.199999999999999845e-02,7.289221220684769520e-01,3.653010542124378035e-01,2.005332407985840892e-01,-2.026213866537422137e-01,-2.657530514676206129e-02
